DATE/TIME,ADDRESS,CITY,COUNTY,AGENCY,RANK,OFFICER NAME,YRS EXP,INJURIES,CLEARED?,BODY CAM,RACE,SEX,NOTES
10/22/18 5:52 PM,100 CAROLYN DRIVE,PITTSBURG,CONTRA COSTA,PITTSBURG POLICE DEPARTMENT,CPL.,ALEX MCCRAY,,,,,,,
10/16/18 9:31 PM,AQUATIC PARK,SAN FRANCISCO,SAN FRANCISCO,U.S. PARK POLICE,OFFICER,METRI ABDUL-KARIM,2,NONE,,,,M,
9/30/18 1:45 AM,1400 HUMBOLDT AVE,SAN PABLO,CONTRA COSTA,HERCULES POLICE DEPARTMENT,,,,,,,,,
9/9/18 1:00 PM,750 W 10TH ST,GILROY,SANTA CLARA,GILROY POLICE DEPARTMENT,,,,,,,,,
9/9/18 5:20 AM,MAYELLEN AVE & SCOTT ST,SAN JOSE,SANTA CLARA,SANTA CLARA POLICE DEPARTMENT,,,,,,,,,
8/6/18 10:54 AM,MAIN ST & O'HARA AVE,OAKLEY,CONTRA COSTA,CONTRA COSTA COUNTY SHERIFF'S OFFICE,,,,,,,,,DOG
8/5/18 9:04 PM,VERDI ST & BELVEDERE ST,SAN RAFAEL,MARIN,SAN RAFAEL POLICE DEPARTMENT,OFFICER,KEVIN MACDOUGALD,42,NONE,,ON,,M,
6/27/18 8:00 AM,5500 ARCADIA CIRCLE,DISCOVERY BAY,CONTRA COSTA,CONTRA COSTA COUNTY SHERIFF'S OFFICE,,,,,,,,,
6/18/18 11:35 PM,E ST & RAILROAD AVE,UNION CITY,ALAMEDA,UNION CITY POLICE DEPARTMENT,,,,,,,,,
6/14/18 8:45 AM,1600 KENTUCKY ST,FAIRFIELD,SOLANO,FAIRFIELD POLICE DEPARTMENT,,,,,,,,,
6/9/18 12:17 AM,1300 GRANT AVE,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO POLICE DEPARTMENT,OFFICER,JOSHUA CABILLO,5,NONE,,ON,,M,
5/23/18 5:44 AM,3000 FLORENCE AVE,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,,NONE,,,,,
5/23/18 5:44 AM,3000 FLORENCE AVE,SAN JOSE,SANTA CLARA,SAN JOSE POLICE DEPARTMENT,,,,NONE,,,,,
5/21/18 1:00 PM,100 HEWITT PLACE,HAYWARD,ALAMEDA,HAYWARD POLICE DEPARTMENT,,,15,NOT FATAL,,,,F,
5/13/18 11:00 AM,19249 SONOMA HIGHWAY,SONOMA,SONOMA,SONOMA COUNTY SHERIFF'S OFFICE,DEPUTY,MIKE SCHEMMEL,16,NONE,,ON,,M,
